section,name,expected,baseline_status,baseline_time,improved_status,improved_time,formula
Custom Test,Test 1: A → A,valid,valid,8.5409265011549e-06,valid,1.391698606312275e-05,(A → A)
Custom Test,Test 2: (A ∧ B) → A,valid,valid,7.665948942303658e-06,valid,1.1791940778493881e-05,((A ∧ B) → A)
Custom Test,Test 3: A → (A ∨ B),valid,valid,6.207963451743126e-06,valid,9.624985978007317e-06,(A → (A ∨ B))
Custom Test,Test 4: A ∨ ¬A,valid,valid,4.499917849898338e-06,valid,7.082941010594368e-06,(A ∨ ¬A)
Custom Test,Test 5: (A → B) → (¬B → ¬A),valid,valid,1.4667166396975517e-05,valid,2.7999980375170708e-05,((A → B) → (¬B → ¬A))
Custom Test,Test 6: (A ∨ B) → (A ∧ B),invalid,not_proved,1.4666933566331863e-05,not_proved,2.545793540775776e-05,((A ∨ B) → (A ∧ B))
Custom Test,Test 7: ∀x.R(x) → R(a),valid,valid,1.1999858543276787e-05,valid,2.037500962615013e-05,(∀x.R(x) → R(a))
Custom Test,Test 8: R(a) → ∃x.R(x),valid,valid,1.0833842679858208e-05,valid,1.8292106688022614e-05,(R(a) → ∃x.R(x))
Custom Test,"Test 9: ∃x.∀y.R(x,y) → ∀y.∃x.R(x,y)",valid,timeout,5.001261624973267,timeout,5.0115424590185285,"(∃x.∀y.R(x, y) → ∀y.∃x.R(x, y))"
Custom Test,"Test 10: ∀y.∃x.R(x,y) → ∃x.∀y.R(x,y)",invalid,timeout,5.004280749941245,timeout,5.034316417062655,"(∀y.∃x.R(x, y) → ∃x.∀y.R(x, y))"
Pelletier,Pelletier 1,valid,valid,4.3042004108428955e-05,valid,8.487491868436337e-05,(((P → Q) → (¬Q → ¬P)) ∧ ((¬Q → ¬P) → (P → Q)))
Pelletier,Pelletier 2,valid,valid,1.5083001926541328e-05,valid,2.9792077839374542e-05,((¬¬P → P) ∧ (P → ¬¬P))
Pelletier,Pelletier 3,valid,valid,8.70879739522934e-06,valid,1.6541918739676476e-05,(¬(P → Q) → (Q → P))
Pelletier,Pelletier 4,valid,valid,2.6999972760677338e-05,valid,6.070779636502266e-05,(((¬P → Q) → (¬Q → P)) ∧ ((¬Q → P) → (¬P → Q)))
Pelletier,Pelletier 5,valid,valid,2.0625069737434387e-05,valid,3.6499928683042526e-05,(((P ∨ Q) → (P ∨ R)) → (P ∨ (Q → R)))
Pelletier,Pelletier 6,valid,valid,4.458939656615257e-06,valid,7.5409188866615295e-06,(P ∨ ¬P)
Pelletier,Pelletier 7,valid,valid,6.2908511608839035e-06,valid,1.295795664191246e-05,(P ∨ ¬¬¬P)
Pelletier,Pelletier 8,valid,valid,9.791925549507141e-06,valid,1.895800232887268e-05,(((P → Q) → P) → P)
Pelletier,Pelletier 9,valid,valid,5.300017073750496e-05,valid,0.0001093749888241291,((((P ∨ Q) ∧ (¬P ∨ Q)) ∧ (P ∨ ¬Q)) → ¬(¬P ∨ ¬Q))
Pelletier,Pelletier 10,valid,valid,5.425000563263893e-05,valid,0.00012312503531575203,((((Q → R) ∧ (R → (P ∧ Q))) ∧ (P → (Q ∨ R))) → ((P → Q) ∧ (Q → P)))
Pelletier,Pelletier 11,valid,valid,9.875046089291573e-06,valid,1.3125129044055939e-05,((P → P) ∧ (P → P))
Pelletier,Pelletier 12,valid,valid,0.00029854197055101395,valid,0.0006792501080781221,((((((P → Q) ∧ (Q → P)) → R) ∧ (R → ((P → Q) ∧ (Q → P)))) → ((P → ((Q → R) ∧ (R → Q))) ∧ (((Q → R) ∧ (R → Q)) → P))) ∧ (((P → ((Q → R) ∧ (R → Q))) ∧ (((Q → R) ∧ (R → Q)) → P)) → ((((P → Q) ∧ (Q → P)) → R) ∧ (R → ((P → Q) ∧ (Q → P))))))
Pelletier,Pelletier 13,valid,valid,4.99580055475235e-05,valid,9.995908476412296e-05,(((P ∨ (Q ∧ R)) → ((P ∨ Q) ∧ (P ∨ R))) ∧ (((P ∨ Q) ∧ (P ∨ R)) → (P ∨ (Q ∧ R))))
Pelletier,Pelletier 14,valid,valid,7.229205220937729e-05,valid,0.0001363328192383051,((((P → Q) ∧ (Q → P)) → ((Q ∨ ¬P) ∧ (¬Q ∨ P))) ∧ (((Q ∨ ¬P) ∧ (¬Q ∨ P)) → ((P → Q) ∧ (Q → P))))
Pelletier,Pelletier 15,valid,valid,2.7416972443461418e-05,valid,4.937499761581421e-05,(((P → Q) → (¬P ∨ Q)) ∧ ((¬P ∨ Q) → (P → Q)))
Pelletier,Pelletier 16,valid,valid,7.79121182858944e-06,valid,1.095794141292572e-05,((P → Q) ∨ (Q → P))
Pelletier,Pelletier 17,valid,valid,8.25000461190939e-05,valid,0.0001896668691188097,((((P ∧ (Q → R)) → S) → (((¬P ∨ Q) ∨ S) ∧ ((¬P ∨ ¬R) ∨ S))) ∧ ((((¬P ∨ Q) ∨ S) ∧ ((¬P ∨ ¬R) ∨ S)) → ((P ∧ (Q → R)) → S)))
