index,expected,baseline_status,baseline_time,improved_status,improved_time,formula
1,not_proved,not_proved,2.9542017728090286e-05,not_proved,7.012509740889072e-05,"(((R(c) ∧ P(a)) ∧ (R(c) ∧ R(a, b))) ∧ (∃x.P(x, x) → (Q(c, b) ∧ R(c, a))))"
2,not_proved,not_proved,3.695790655910969e-05,not_proved,8.245790377259254e-05,"((P(a) → ∀y.P(y, y)) ∨ ((R(c) ∧ ∀x.Q(a)) ∧ (¬Q(a) ∧ R(a, c))))"
3,valid,valid,1.1082971468567848e-05,valid,2.6167137548327446e-05,((((C ∧ D) ∧ (B → B)) ∨ (¬⊤ ∨ ¬D)) → ((((C ∧ D) ∧ (B → B)) ∨ (¬⊤ ∨ ¬D)) ∨ (((C ∨ A) ∧ (E → C)) ∨ ¬(C ∨ B))))
4,valid,valid,8.417060598731041e-06,valid,1.841713674366474e-05,((⊥ ∧ (⊥ → (¬(B → E) ∨ ((B ∨ B) ∧ (C → E))))) → (¬(B → E) ∨ ((B ∨ B) ∧ (C → E))))
5,not_proved,not_proved,1.979200169444084e-05,not_proved,3.7125078961253166e-05,((¬D ∧ (A ∨ A)) → ¬(A → B))
6,valid,valid,5.334150046110153e-06,valid,9.999843314290047e-06,(((B ∨ A) ∧ (E ∨ ⊥)) → (E ∨ ⊥))
7,not_proved,not_proved,1.4208024367690086e-05,not_proved,2.550007775425911e-05,((¬D ∨ (D ∧ E)) ∧ ((B ∨ E) → (⊥ → A)))
8,valid,valid,2.4170149117708206e-06,valid,4.250090569257736e-06,(A → A)
9,not_proved,not_proved,2.7080532163381577e-06,not_proved,3.95788811147213e-06,⊥
10,valid,valid,1.216609962284565e-05,valid,2.3833010345697403e-05,(((E → E) ∧ ¬C) → (¬(⊥ ∧ C) ∨ ((E → E) ∧ ¬C)))
11,not_proved,not_proved,1.4040851965546608e-05,not_proved,2.520880661904812e-05,"∀x.(R(x, b) ∧ P(b))"
12,valid,valid,6.042188033461571e-06,valid,1.2833857908844948e-05,((((D ∨ D) → (B ∨ C)) ∧ (¬C ∨ (A ∧ B))) → (¬C ∨ (A ∧ B)))
13,not_proved,not_proved,7.834052667021751e-06,not_proved,1.3832934200763702e-05,(¬C → (B → A))
14,valid,valid,5.834037438035011e-06,valid,1.1458992958068848e-05,(¬¬(D → B) → (D → B))
15,not_proved,not_proved,1.3417098671197891e-05,not_proved,2.9749935492873192e-05,(¬((C ∧ ⊤) → (C ∨ E)) ∧ ¬((⊤ ∧ E) → B))
16,valid,valid,5.333218723535538e-06,valid,9.167008101940155e-06,(¬¬E → E)
17,not_proved,not_proved,7.95908272266388e-06,not_proved,1.49579718708992e-05,((A ∧ B) ∨ (C ∨ D))
18,not_proved,not_proved,1.3999873772263527e-05,not_proved,3.2250070944428444e-05,(¬((B ∨ B) ∨ (A → D)) ∧ (((E ∨ D) → (A ∨ A)) ∨ ((E ∧ E) → (D ∧ D))))
19,not_proved,not_proved,2.891593612730503e-05,not_proved,6.566685624420643e-05,((((D → E) ∨ (D ∨ B)) → ((D ∧ C) → (B ∨ C))) ∧ (¬(B ∧ A) → ((A ∧ D) ∨ (A ∧ E))))
20,valid,valid,1.6958918422460556e-05,valid,3.554113209247589e-05,((D → (D → E)) → (¬(D → E) → ¬D))
21,valid,valid,7.591699250042439e-05,valid,0.00030608405359089375,(((((D → E) → (E ∨ A)) → ¬(B ∨ ⊥)) ∧ (¬(B ∨ ⊥) → ((D ∧ D) ∧ (⊥ ∧ ⊤)))) → (((D → E) → (E ∨ A)) → ((D ∧ D) ∧ (⊥ ∧ ⊤))))
22,valid,valid,1.3124896213412285e-05,valid,5.133403465151787e-05,((¬E ∧ C) → ((¬A ∧ (B → E)) ∨ (¬E ∧ C)))
23,not_proved,not_proved,1.0457821190357208e-05,not_proved,2.1709129214286804e-05,((¬B → ¬E) ∧ ((A → D) → (⊥ → A)))
24,not_proved,not_proved,9.00006853044033e-06,not_proved,1.791701652109623e-05,((D ∧ D) ∨ (C ∧ E))
25,not_proved,not_proved,2.4499837309122086e-05,not_proved,5.9208134189248085e-05,(((D ∧ (E ∧ C)) ∧ ¬(B → C)) ∨ (((A → B) → ¬D) ∧ ((D ∧ A) ∨ ¬B)))
26,valid,valid,6.94170594215393e-05,valid,0.00016020797193050385,((((E ∧ D) ∨ (A ∧ C)) ∧ ¬(B ∨ D)) → ((((E ∧ D) ∨ (A ∧ C)) ∧ ¬(B ∨ D)) ∨ (((A → C) ∨ (A ∧ B)) ∧ (B ∧ (A ∨ E)))))
27,valid,valid,1.129182055592537e-05,valid,2.9749935492873192e-05,((((E → D) ∨ (D ∧ E)) → ¬⊥) → (¬¬⊥ → ¬((E → D) ∨ (D ∧ E))))
28,valid,valid,4.416098818182945e-06,valid,8.541857823729515e-06,(((D ∧ ⊥) ∧ (E ∧ B)) → (D ∧ ⊥))
29,not_proved,not_proved,2.1415995433926582e-05,not_proved,4.741712473332882e-05,"(∃y.(Q(c, b) ∨ ⊥) → ¬(Q(a) ∨ R(c)))"
30,not_proved,not_proved,8.250121027231216e-06,not_proved,1.3124896213412285e-05,((B → D) ∨ (A ∨ D))
31,valid,valid,1.9042054191231728e-05,valid,4.108389839529991e-05,(¬¬¬((D ∨ E) ∧ ¬⊥) → ¬((D ∨ E) ∧ ¬⊥))
32,valid,valid,4.749977961182594e-06,valid,8.667120710015297e-06,(((B ∨ C) ∧ (D ∨ B)) → (D ∨ B))
33,not_proved,not_proved,2.174987457692623e-05,not_proved,4.9208989366889e-05,(((C ∧ C) → (E → D)) → ((C ∨ E) → (B ∧ B)))
34,valid,valid,4.666857421398163e-06,valid,8.542090654373169e-06,(((C → D) ∧ (B ∧ A)) → (C → D))
35,not_proved,not_proved,3.2498501241207123e-06,not_proved,5.916925147175789e-06,¬⊤
36,valid,valid,7.084105163812637e-06,valid,1.6625039279460907e-05,((⊥ ∧ (((A ∨ E) ∧ (D ∧ A)) → ((C ∧ A) ∨ (⊥ ∨ A)))) → (((A ∨ E) ∧ (D ∧ A)) → ((C ∧ A) ∨ (⊥ ∨ A))))
37,not_proved,not_proved,1.670815981924534e-05,not_proved,4.1999854147434235e-05,"((¬∃y.P(y) ∧ Q(b, b)) ∧ (((R(c, b) → Q(c)) ∨ (⊤ ∨ R(c))) ∧ ∀y.∃x.Q(c)))"
38,valid,valid,7.125083357095718e-06,valid,1.7458107322454453e-05,((((¬⊥ → (⊤ ∨ A)) → ((⊥ → D) ∨ (E ∧ C))) ∧ (C ∨ C)) → ((¬⊥ → (⊤ ∨ A)) → ((⊥ → D) ∨ (E ∧ C))))
39,not_proved,not_proved,8.125090971589088e-06,not_proved,1.537497155368328e-05,¬((B ∨ D) → D)
40,valid,valid,5.166046321392059e-06,valid,8.95909033715725e-06,(¬¬D → D)
41,not_proved,not_proved,1.850002445280552e-05,not_proved,4.016701132059097e-05,((¬(C ∨ ⊤) ∨ ((C ∨ ⊥) ∧ (C → ⊥))) ∧ (D ∧ ¬(A ∧ ⊥)))
42,valid,valid,4.417030140757561e-06,valid,8.375151082873344e-06,(((E → B) ∧ (B → E)) → (B → E))
43,not_proved,not_proved,5.667097866535187e-06,not_proved,1.1167023330926895e-05,¬(C → B)
44,valid,valid,4.00003045797348e-06,valid,7.666880264878273e-06,((⊥ ∧ E) → ((⊥ ∧ E) ∨ ¬⊥))
45,not_proved,not_proved,5.58304600417614e-06,not_proved,9.707873687148094e-06,(C → (A ∨ D))
46,valid,valid,5.6124990805983543e-05,valid,8.316687308251858e-05,((((A ∨ C) → (⊥ ∨ E)) ∧ ((⊥ ∨ E) → (E ∨ D))) → ((A ∨ C) → (E ∨ D)))
47,valid,valid,6.458023563027382e-06,valid,1.1208001524209976e-05,(¬E → (D → D))
48,not_proved,not_proved,0.00010924995876848698,not_proved,6.13329466432333e-05,¬((¬B ∧ (A → E)) ∧ ((D → E) ∧ (A ∨ C)))
49,not_proved,not_proved,1.0791933164000511e-05,not_proved,1.5124911442399025e-05,∀y.P(b)
50,valid,valid,5.129189230501652e-05,valid,0.00012366683222353458,(¬¬(¬(D → B) ∨ ((E → A) ∧ (A ∧ C))) → (¬(D → B) ∨ ((E → A) ∧ (A ∧ C))))
51,not_proved,not_proved,2.52497848123312e-05,not_proved,6.424984894692898e-05,(((E ∨ (C ∨ ⊥)) ∧ ((E ∧ ⊥) → (B → B))) ∨ ¬((C ∨ B) ∨ (B ∧ B)))
52,not_proved,not_proved,3.125052899122238e-06,not_proved,5.624955520033836e-06,D
53,valid,valid,2.6084017008543015e-05,valid,5.6582968682050705e-05,(((C ∨ C) → (⊥ ∧ C)) → ((A ∨ D) → ¬C))
54,valid,valid,5.500158295035362e-06,valid,9.833136573433876e-06,(((D ∨ A) ∧ (B ∨ D)) → (D ∨ A))
55,not_proved,not_proved,7.0410314947366714e-06,not_proved,1.2625008821487427e-05,¬(E → B)
56,valid,valid,6.1248429119586945e-06,valid,1.3333046808838844e-05,((((A → C) ∧ ¬⊥) ∧ ((E ∧ C) → ¬C)) → ((A → C) ∧ ¬⊥))
57,valid,valid,1.1499971151351929e-05,valid,2.170889638364315e-05,(¬(C ∧ D) ∨ (C ∧ (E → E)))
58,not_proved,not_proved,1.7999904230237007e-05,not_proved,4.024989902973175e-05,(((B ∨ B) ∨ (⊥ → C)) → (¬A ∨ (C ∧ E)))
59,not_proved,not_proved,4.582805559039116e-06,not_proved,9.95909795165062e-06,¬Q(b)
60,valid,valid,9.333016350865364e-06,valid,2.729194238781929e-05,((((¬C ∧ C) ∧ (¬D → (D → A))) → ⊤) → (¬⊤ → ¬((¬C ∧ C) ∧ (¬D → (D → A)))))
61,not_proved,not_proved,1.6750069335103035e-05,not_proved,3.574998117983341e-05,"(¬(P(b, a) → P(a, c)) → ∀z.⊥)"
62,valid,valid,8.999835699796677e-06,valid,2.2458145394921303e-05,((((D → B) ∧ ¬D) → ¬(A ∧ C)) → (((¬A ∨ (C ∨ C)) → ((A ∧ C) → ¬C)) ∨ (((D → B) ∧ ¬D) → ¬(A ∧ C))))
63,not_proved,not_proved,2.9041897505521774e-05,not_proved,6.11250288784504e-05,"(((Q(b) ∨ Q(a, c)) ∨ (P(b, a) ∨ ⊥)) ∨ ∀y.(P(y, b) ∨ Q(a, y)))"
64,valid,valid,6.292015314102173e-06,valid,1.4082994312047958e-05,(((E → ((B ∨ C) → (A ∧ D))) ∧ A) → (E → ((B ∨ C) → (A ∧ D))))
65,not_proved,not_proved,1.5625031664967537e-05,not_proved,3.354181535542011e-05,(((C ∨ B) → (A → B)) → ((E ∨ E) ∧ ¬A))
66,valid,valid,1.4750054106116295e-05,valid,4.012486897408962e-05,(((((A → C) ∨ (E ∨ E)) → ((D ∧ A) ∨ (C → C))) ∧ ((((A → C) ∨ (E ∨ E)) → ((D ∧ A) ∨ (C → C))) → E)) → E)
67,not_proved,not_proved,1.908303238451481e-05,not_proved,2.9708025977015495e-05,"¬∃x.¬∀z.P(a, z)"
68,valid,valid,5.708076059818268e-06,valid,1.0084128007292747e-05,¬((D ∨ D) ∧ (⊥ ∧ D))
69,not_proved,not_proved,1.237494871020317e-05,not_proved,2.4750130251049995e-05,(((E ∧ B) → (E → C)) ∧ (¬D ∨ C))
70,valid,valid,1.1582858860492706e-05,valid,2.283393405377865e-05,(((D → A) ∨ (C → D)) ∨ ¬((D → A) ∨ (C → D)))
71,not_proved,not_proved,2.7959002181887627e-05,not_proved,6.11250288784504e-05,((¬D ∧ (⊤ ∨ C)) ∨ ((E ∨ E) → (E ∧ C)))
72,valid,valid,8.333008736371994e-06,valid,2.0999927073717117e-05,((((A → A) ∨ A) → ((E ∧ A) ∨ (E ∨ D))) → ((((A → A) ∨ A) → ((E ∧ A) ∨ (E ∨ D))) ∨ ¬(¬A → (D ∧ B))))
73,not_proved,not_proved,6.292015314102173e-06,not_proved,1.7124926671385765e-05,"(Q(c) ∧ ∀y.(R(y, b) → P(y, y)))"
74,not_proved,not_proved,6.041023880243301e-06,not_proved,1.2625008821487427e-05,((C ∨ E) ∧ (A → E))
75,valid,valid,5.125068128108978e-06,valid,1.4541903510689735e-05,(¬¬¬D → ¬D)
76,not_proved,not_proved,1.1334195733070374e-05,not_proved,2.1167099475860596e-05,((A ∧ ⊥) ∨ ((A ∨ B) ∨ (A ∨ D)))
77,not_proved,not_proved,2.2079329937696457e-06,not_proved,5.166977643966675e-06,P(b)
78,valid,valid,3.832858055830002e-06,valid,6.166985258460045e-06,((D ∧ D) → D)
79,valid,valid,7.790978997945786e-06,valid,1.8333084881305695e-05,(((((C ∧ B) ∧ (D ∧ E)) ∨ ((⊥ ∨ D) ∧ (C ∧ D))) ∧ (E → ¬(A → D))) → (((C ∧ B) ∧ (D ∧ E)) ∨ ((⊥ ∨ D) ∧ (C ∧ D))))
80,valid,valid,1.0083895176649094e-05,valid,2.8499867767095566e-05,(¬¬(¬(⊥ ∨ E) → ((E ∨ B) ∧ (E → A))) → (¬(⊥ ∨ E) → ((E ∨ B) ∧ (E → A))))
81,not_proved,not_proved,3.458932042121887e-06,not_proved,6.332993507385254e-06,¬B
82,not_proved,not_proved,1.2208009138703346e-05,not_proved,2.391706220805645e-05,"∀y.(Q(a, y) → R(y))"
83,not_proved,not_proved,6.749993190169334e-06,not_proved,1.3291137292981148e-05,(¬D ∧ (A ∨ A))
84,valid,valid,7.183314301073551e-05,valid,3.616604954004288e-05,((((A ∨ C) → (E ∧ E)) ∧ ((E ∧ E) → (B → B))) → ((A ∨ C) → (B → B)))
85,valid,valid,7.125083357095718e-06,valid,1.554214395582676e-05,((((B ∨ D) ∧ (⊤ ∨ D)) ∧ ((B ∧ B) → (B → B))) → ((B ∨ D) ∧ (⊤ ∨ D)))
86,valid,valid,6.250105798244476e-06,valid,3.7624966353178024e-05,((⊥ → E) ∨ (B ∨ E))
87,not_proved,not_proved,3.6416808143258095e-05,not_proved,6.729201413691044e-05,((A ∧ ((D ∧ E) ∧ (B → C))) ∧ (((E ∧ D) ∨ ¬D) ∧ ((C ∧ E) → (A → E))))
88,valid,valid,4.499917849898338e-06,valid,8.208910003304482e-06,(((E ∧ D) ∧ (C ∨ D)) → ((E ∧ D) ∧ (C ∨ D)))
89,not_proved,not_proved,9.292038157582283e-06,not_proved,1.6541918739676476e-05,¬(¬B ∨ (E ∨ E))
90,not_proved,not_proved,6.3749030232429504e-06,not_proved,1.2250151485204697e-05,¬(⊤ ∨ C)
91,valid,valid,1.0167015716433525e-05,valid,3.1624920666217804e-05,(¬¬¬(B → A) → ¬(B → A))
92,valid,valid,7.704203017055988e-05,valid,0.00011999998241662979,(((¬¬D → ((A ∨ A) → (E ∧ A))) ∧ (((A ∨ A) → (E ∧ A)) → C)) → (¬¬D → C))
93,not_proved,not_proved,7.958849892020226e-06,not_proved,1.558312214910984e-05,((⊤ → B) ∧ (D → C))
94,valid,valid,9.00006853044033e-06,valid,1.6707926988601685e-05,((E ∨ B) ∨ ¬(E ∨ B))
95,not_proved,not_proved,1.8749851733446121e-06,not_proved,3.915978595614433e-06,C
96,valid,valid,6.667105481028557e-06,valid,1.4625024050474167e-05,((((E ∨ D) → (D ∧ ⊥)) ∧ ((A → D) ∨ (D → A))) → ((E ∨ D) → (D ∧ ⊥)))
97,not_proved,not_proved,1.3167038559913635e-05,not_proved,3.087497316300869e-05,"((P(a) → P(b, a)) ∨ (P(c) ∨ R(a, a)))"
98,valid,valid,8.270819671452045e-05,valid,0.000266083050519228,(((¬D ∨ (C ∧ B)) → ((D ∨ C) → ¬E)) → (¬((D ∨ C) → ¬E) → ¬(¬D ∨ (C ∧ B))))
99,not_proved,not_proved,5.37489540874958e-06,not_proved,9.834067896008492e-06,"R(c, a)"
100,valid,valid,8.916947990655899e-06,valid,1.9333092495799065e-05,(¬¬((E ∧ E) → (A ∧ D)) → ((E ∧ E) → (A ∧ D)))
