section,name,expected,baseline_status,baseline_time,improved_status,improved_time,same_status,improved_succeeded_baseline_timeout,baseline_succeeded_improved_timeout,formula
Pelletier 18-34 FOL Challenge,Pelletier 18,valid,valid,8.520809933543205e-05,valid,0.0001252919901162386,True,False,False,∃y.∀x.(big_f(y) → big_f(x))
Pelletier 18-34 FOL Challenge,Pelletier 19,valid,valid,0.00018541701138019562,valid,0.0004338750150054693,True,False,False,∃x.∀y.∀z.((big_p(y) → big_q(z)) → (big_p(x) → big_q(x)))
Pelletier 18-34 FOL Challenge,Pelletier 20,valid,timeout,6.951143709011376,not_proved,0.00040370807982981205,False,False,False,(∀x.∀y.∃z.∀w.((big_p(x) ∧ big_q(y)) → (big_r(z) ∧ big_s(w))) → ∃x1.∃y1.((big_p(x1) ∧ big_q(y1)) → ∃z1.big_r(z1)))
Pelletier 18-34 FOL Challenge,Pelletier 21,valid,timeout,60.015823082998395,valid,0.0004724999889731407,False,True,False,((∃x.(p → big_f(x)) ∧ ∃x.(big_f(x) → p)) → ∃x.((p → big_f(x)) ∧ (big_f(x) → p)))
Pelletier 18-34 FOL Challenge,Pelletier 22,valid,timeout,60.01150812488049,valid,0.00032937503419816494,False,True,False,(∀x.((p → big_f(x)) ∧ (big_f(x) → p)) → ((p → ∀x1.big_f(x1)) ∧ (∀x1.big_f(x1) → p)))
Pelletier 18-34 FOL Challenge,Pelletier 23,valid,valid,8.233403787016869e-05,valid,0.00010854192078113556,True,False,False,((∀x.(p ∨ big_f(x)) → (p ∨ ∀x1.big_f(x1))) ∧ ((p ∨ ∀x1.big_f(x1)) → ∀x.(p ∨ big_f(x))))
Pelletier 18-34 FOL Challenge,Pelletier 24,valid,timeout,60.01020354195498,timeout,60.86342404107563,True,False,False,((((¬∃x.(big_s(x) ∧ big_q(x)) ∧ ∀x.(big_p(x) → (big_q(x) ∨ big_r(x)))) ∧ (¬∃x.big_p(x) → ∃y.big_q(y))) ∧ ∀x.((big_q(x) ∨ big_r(x)) → big_s(x))) → ∃x.(big_p(x) ∧ big_r(x)))
Pelletier 18-34 FOL Challenge,Pelletier 25,valid,timeout,60.008479540934786,valid,0.0010066248942166567,False,True,False,((((∃x.big_p(x) ∧ ∀x.(big_f(x) → (¬big_g(x) ∧ big_r(x)))) ∧ ∀x.(big_p(x) → (big_g(x) ∧ big_f(x)))) ∧ (∀x.(big_p(x) → big_q(x)) ∨ ∃z.(big_p(z) ∧ big_r(z)))) → ∃x.(big_q(x) ∧ big_p(x)))
Pelletier 18-34 FOL Challenge,Pelletier 26,valid,timeout,1.3122476669959724,not_proved,0.0004859580658376217,False,False,False,((((∃x.big_p(x) → ∃y.big_q(y)) ∧ (∃y.big_q(y) → ∃x.big_p(x))) ∧ ∀x.∀y.((big_p(x) ∧ big_q(y)) → ((big_r(x) → big_s(y)) ∧ (big_s(y) → big_r(x))))) → ((∀x.(big_p(x) → big_r(x)) → ∀y.(big_q(y) → big_s(y))) ∧ (∀y.(big_q(y) → big_s(y)) → ∀x.(big_p(x) → big_r(x)))))
Pelletier 18-34 FOL Challenge,Pelletier 27,valid,timeout,60.00995362503454,timeout,61.892638040939346,True,False,False,((((∃x.(big_f(x) ∧ ¬big_g(x)) ∧ ∀x.(big_f(x) → big_h(x))) ∧ ∀x.((big_j(x) ∧ big_i(x)) → big_f(x))) ∧ (∃x.(big_h(x) ∧ ¬big_g(x)) → ∀x1.(big_i(x1) → ¬big_h(x1)))) → ∀x.(big_j(x) → ¬big_i(x)))
